age,height_cm,weight_kg,bmi,shoulder_width_cm,waist_circumference_cm,hip_circumference_cm,waist_hip_ratio,chest_circumference_cm,hand_length_cm,foot_length_cm,neck_circumference_cm,wrist_circumference_cm,voice_frequency_hz,stride_length_cm,grip_strength_kg,pulse_rate_bpm,systolic_bp_mmhg,body_fat_percentage,bone_density_g_cm2,gender,age_category,target
45,167.0,97.6,35.0,43.3,105.9,97.1,1.091,115.0,18.2,25.4,38.8,17.2,145.1,76.6,54.3,75.0,119.0,18.3,1.078,male,adult,adult_male
25,163.5,78.4,29.3,44.6,91.6,95.9,0.955,109.9,19.8,27.7,34.8,18.8,105.6,74.0,36.4,66.0,135.0,7.7,1.374,male,young,young_male
68,172.5,109.7,36.9,48.2,92.9,97.2,0.956,91.7,19.9,26.9,32.4,15.3,114.3,76.2,43.4,60.0,150.0,23.3,0.962,male,old,old_male
28,156.7,46.4,18.9,35.3,67.2,88.3,0.762,88.9,15.3,22.0,34.6,16.0,183.8,72.8,38.4,66.0,120.0,18.0,1.216,female,young,young_female
29,169.5,60.7,21.1,36.2,80.2,99.4,0.807,87.6,14.6,22.1,33.7,14.1,209.7,64.7,33.4,48.0,118.0,19.1,1.266,female,young,young_female
49,180.7,100.2,30.7,46.0,81.6,84.6,0.965,101.4,18.9,26.6,41.6,18.6,108.4,70.2,35.1,61.0,119.0,16.5,1.025,male,adult,adult_male
21,169.4,65.7,22.9,40.9,79.2,87.3,0.907,89.4,16.1,25.0,29.0,16.1,232.3,77.1,46.3,66.0,87.0,15.6,1.316,female,young,young_female
75,145.9,71.6,33.7,38.1,71.6,93.8,0.763,96.4,19.9,22.7,27.8,13.3,209.1,73.9,28.2,67.0,133.0,20.0,0.842,female,old,old_female
69,157.4,76.4,30.8,34.1,73.6,104.1,0.707,100.6,17.4,22.6,26.7,14.7,223.3,66.4,25.8,86.0,101.0,22.3,0.807,female,old,old_female
74,176.3,93.2,30.0,47.8,99.0,112.2,0.882,88.7,20.6,25.7,40.3,17.7,105.3,79.4,50.1,79.0,143.0,15.7,0.892,male,old,old_male
63,155.0,64.1,26.7,36.9,78.8,96.5,0.817,97.1,17.3,23.3,31.4,14.9,229.9,57.9,19.5,78.0,103.0,31.7,0.88,female,old,old_female
22,166.7,54.7,19.7,43.2,87.7,91.3,0.961,101.7,19.4,28.1,38.3,16.2,140.3,73.1,54.1,60.0,105.0,10.4,1.273,male,young,young_male
28,164.6,55.1,20.3,40.3,70.0,95.8,0.731,90.6,18.3,24.1,31.8,12.7,194.1,71.5,13.5,74.0,98.0,20.2,1.277,female,young,young_female
75,184.7,98.3,28.8,42.3,87.3,96.5,0.905,110.8,19.7,26.0,36.2,15.4,136.7,83.5,56.2,55.0,117.0,14.3,1.025,male,old,old_male
40,189.4,80.6,22.5,47.1,92.6,96.1,0.964,107.0,19.3,23.6,41.3,18.2,77.9,74.1,53.3,50.0,134.0,14.3,1.284,male,adult,adult_male
60,151.0,73.3,32.1,31.8,82.8,91.4,0.906,90.1,16.7,24.4,36.0,13.7,259.8,64.1,13.6,87.0,117.0,23.2,0.856,female,old,old_female
76,183.7,104.0,30.8,42.7,94.9,93.0,1.021,97.9,19.4,22.3,40.6,19.5,114.6,76.3,52.5,73.0,173.0,13.4,0.772,male,old,old_male
26,178.2,58.8,18.5,39.5,79.6,96.4,0.826,91.2,17.5,19.2,33.7,15.2,204.4,78.2,43.9,64.0,105.0,24.3,1.304,female,young,young_female
71,161.5,76.9,29.5,38.7,76.4,101.7,0.752,81.0,16.7,23.0,27.7,14.9,228.3,66.5,18.6,72.0,130.0,27.5,0.912,female,old,old_female
56,158.4,59.1,23.5,38.7,65.3,93.5,0.698,87.9,16.3,22.2,31.7,15.3,147.5,56.1,25.3,70.0,131.0,21.4,0.965,female,adult,adult_female
20,170.1,79.0,27.3,48.1,91.4,87.0,1.051,98.7,19.2,25.1,37.3,16.9,118.4,78.3,34.7,78.0,78.0,20.8,1.389,male,young,young_male
56,158.7,79.5,31.6,40.9,89.6,98.7,0.908,92.5,17.0,21.5,28.8,15.6,186.6,69.1,36.9,65.0,158.0,20.0,1.048,female,adult,adult_female
24,181.4,70.0,21.3,43.5,94.8,85.8,1.104,88.4,18.1,28.2,36.3,19.4,144.0,79.7,46.3,64.0,108.0,9.7,1.009,male,young,young_male
24,169.8,53.9,18.7,38.3,85.3,99.4,0.857,96.1,19.0,21.4,31.5,12.9,182.6,73.4,41.3,70.0,120.0,28.7,1.108,female,young,young_female
24,178.4,75.0,23.6,40.0,68.5,94.7,0.724,90.7,17.4,25.2,34.2,13.7,244.4,69.6,19.1,72.0,104.0,17.2,1.265,female,young,young_female
84,179.5,62.7,19.5,32.8,74.0,101.7,0.728,89.8,16.3,22.0,32.3,13.9,201.8,71.8,20.2,82.0,120.0,27.2,1.004,female,old,old_female
69,153.8,62.4,26.4,35.6,71.3,96.4,0.739,96.2,14.8,20.7,36.7,14.1,215.0,60.6,37.5,71.0,149.0,34.5,0.956,female,old,old_female
27,178.0,63.6,20.1,47.0,92.8,89.5,1.037,98.9,18.8,25.2,33.9,18.0,115.1,78.1,46.6,80.0,121.0,14.0,1.141,male,young,young_male
78,168.4,76.0,26.8,44.8,103.3,103.3,1.0,108.5,17.5,25.3,36.1,15.5,95.1,88.0,49.3,79.0,128.0,17.0,0.869,male,old,old_male
63,159.3,74.8,29.5,44.9,88.8,93.2,0.952,98.4,20.5,24.8,36.9,18.1,108.7,80.5,54.8,90.0,132.0,9.8,1.038,male,old,old_male
31,174.9,78.4,25.6,45.7,85.5,92.6,0.922,107.5,19.9,27.2,38.1,17.3,124.6,74.1,56.8,81.0,127.0,12.9,1.249,male,adult,adult_male
30,182.8,87.2,26.1,42.4,109.9,96.6,1.138,112.2,18.8,27.1,40.5,18.8,141.1,83.2,42.5,62.0,120.0,19.7,1.178,male,adult,adult_male
23,183.6,70.9,21.0,47.3,81.7,100.8,0.811,104.7,18.9,26.3,34.1,17.2,117.2,70.4,40.1,44.0,128.0,14.3,1.008,male,young,young_male
58,176.9,58.8,18.8,39.7,79.0,102.5,0.771,82.4,14.2,24.3,29.9,12.6,213.6,72.0,27.0,67.0,127.0,23.1,0.861,female,adult,adult_female
35,179.2,87.1,27.1,46.1,82.6,99.6,0.829,93.7,20.7,25.8,37.8,18.3,140.0,82.6,38.4,76.0,105.0,18.9,1.032,male,adult,adult_male
83,166.8,98.3,35.3,50.7,88.9,101.8,0.873,102.2,18.7,29.0,38.0,17.4,125.0,68.2,40.9,63.0,157.0,9.7,0.856,male,old,old_male
83,158.7,85.0,33.7,43.0,99.8,91.3,1.094,92.0,19.6,25.9,39.8,18.2,144.5,78.8,48.7,70.0,148.0,10.2,0.815,male,old,old_male
31,176.4,95.6,30.7,46.8,86.7,96.5,0.898,100.1,19.0,25.3,37.5,17.3,100.1,71.9,33.9,52.0,97.0,15.8,1.106,male,adult,adult_male
76,163.0,87.7,33.0,38.0,86.9,108.9,0.798,93.3,15.6,22.7,30.1,14.4,207.6,67.3,23.6,85.0,130.0,31.0,0.741,female,old,old_female
26,174.7,93.6,30.7,45.6,94.3,100.4,0.94,117.1,20.0,26.4,40.0,17.8,138.5,68.6,44.4,76.0,142.0,15.7,1.289,male,young,young_male
28,169.1,78.3,27.4,38.4,71.6,97.0,0.738,83.2,17.0,25.2,35.8,16.8,142.3,79.4,33.6,70.0,91.0,16.3,1.178,male,young,young_male
29,171.8,56.4,19.1,35.8,77.6,106.6,0.728,93.1,18.2,20.9,32.4,13.7,173.1,64.3,29.9,57.0,112.0,26.5,1.223,female,young,young_female
84,162.1,88.5,33.7,48.3,100.2,84.1,1.191,105.9,16.3,24.7,40.6,18.0,129.1,85.9,44.7,66.0,133.0,9.8,1.17,male,old,old_male
